number,element,Z,line,energy_keV,intensity,error
1753,Rf,104,La1,17.893,19.8,1.1
1760,Rf,104,Lb6,20.67,0.46,0.03
1756,Rf,104,Lb2,21.716,5.6,0.4
1765,Rf,104,Ln,21.825,0.35,0.04
1759,Rf,104,Lb5,22.727,1.41,0.08
1758,Rf,104,Lb4,23.143,0.26,0.05
1755,Rf,104,Lb1,24.65,12,1.2
1757,Rf,104,Lb3,24.872,0.15,0.03
1761,Rf,104,Lg1,28.753,3.2,0.3
1762,Rf,104,lg2,28.846,0.116,0.024
1763,Rf,104,lg3,29.327,0.076,0.016
1764,Rf,104,Lg6,29.796,0.73,0.09
1745,Rf,104,Ka3,125.407,0.252,0.008
1744,Rf,104,Ka2,126.302,29.2,0.6
1743,Rf,104,Ka1,133.381,43.6,0.9
1748,Rf,104,Kb3,148.55,5.79,0.12
1746,Rf,104,Kb1,150.279,10.8,0.22
1750,Rf,104,Kb5,151.113,0.486,0.019
1747,Rf,104,Kb2,154.312,4.36,0.09
1749,Rf,104,Kb4,155.097,0.16,0.08
1751,Rf,104,KO,155.904,1.13,0.11
1752,Rf,104,KP,156.236,0.183,0.019
